nWifi	payloadSize	throughput
36	6524	5.11482
36	7024	4.55155
36	7524	4.81536
36	8024	4.75021
36	8524	5.04621
36	9024	5.05344
36	9524	4.8001
36	10024	4.81152
37	1024	3.12115
37	1524	4.01117
37	2024	4.6471
37	2524	4.11917
37	3024	4.42714
37	3524	4.51072
37	4024	4.73222
37	4524	4.41542
37	5024	4.70246
37	5524	4.68435
37	6024	4.8192
37	6524	4.90605
37	7024	4.83251
37	7524	4.69498
37	8024	4.62182
37	8524	4.90982
37	9024	4.76467
37	9524	4.64771
37	10024	4.89171
38	1024	3.11296
38	1524	3.93802
38	2024	4.56614
38	2524	4.0384
38	3024	4.5481
38	3524	4.36976
38	4024	4.70003
38	4524	4.37923
38	5024	4.62208
38	5524	4.64016
38	6024	4.57824
38	6524	5.01043
38	7024	4.55155
38	7524	4.63478
38	8024	4.68602
38	8524	5.04621
38	9024	4.76467
38	9524	4.8001
38	10024	4.41056
39	1024	3.12934
39	1524	3.9624
39	2024	4.59853
39	2524	4.17974
39	3024	4.5481
39	3524	4.5953
39	4024	4.79661
39	4524	4.59638
39	5024	4.70246
39	5524	4.46339
39	6024	4.86739
39	6524	5.01043
39	7024	4.60774
39	7524	4.75517
39	8024	4.68602
39	8524	4.97802
39	9024	4.98125
39	9524	4.7239
39	10024	4.81152
40	1024	3.16211
40	1524	3.93802
40	2024	4.61472
40	2524	4.24032
40	3024	4.47552
40	3524	4.36976
40	4024	4.86099
40	4524	4.41542
40	5024	4.62208
40	5524	4.64016
40	6024	4.77101
40	6524	4.85386
40	7024	4.49536
40	7524	4.87555
40	8024	4.8144
40	8524	4.90982
40	9024	5.05344
40	9524	4.64771
40	10024	4.73133
41	1024	3.09658
41	1524	3.93802
41	2024	4.58234
41	2524	4.19994
41	3024	4.49971
41	3524	4.45434
41	4024	4.76442
41	4524	4.41542
41	5024	4.62208
41	5524	4.64016
41	6024	4.72282
41	6524	5.01043
41	7024	4.60774
41	7524	4.93574
41	8024	4.68602
41	8524	4.84163
41	9024	4.76467
41	9524	4.87629
41	10024	4.65114
42	1024	3.18669
42	1524	3.9624
42	2024	4.61472
42	2524	4.15955
42	3024	4.5481
42	3524	4.51072
42	4024	4.76442
42	4524	4.45162
42	5024	4.74266
42	5524	4.59597
42	6024	4.8192
42	6524	4.95824
42	7024	4.66394
42	7524	4.63478
42	8024	4.75021
42	8524	4.84163
42	9024	4.76467
42	9524	5.02867
42	10024	4.57094
43	1024	3.13754
43	1524	3.97459
43	2024	4.59853
43	2524	4.26051
43	3024	4.62067
43	3524	4.45434
43	4024	4.79661
43	4524	4.524
43	5024	4.74266
43	5524	4.64016
43	6024	4.67462
43	6524	4.90605
43	7024	4.66394
43	7524	4.69498
43	8024	4.75021
43	8524	4.90982
43	9024	5.05344
43	9524	4.49533
43	10024	4.81152
44	1024	3.08838
44	1524	3.97459
44	2024	4.59853
44	2524	4.15955
44	3024	4.45133
44	3524	4.39795
44	4024	4.70003
44	4524	4.30685
44	5024	4.58189
44	5524	4.50758
44	6024	4.67462
44	6524	4.85386
44	7024	4.66394
44	7524	4.69498
44	8024	4.62182
44	8524	4.63706
44	9024	5.05344
44	9524	4.41914
44	10024	4.81152
45	1024	3.16211
45	1524	4.02336
45	2024	4.6471
45	2524	4.15955
45	3024	4.62067
45	3524	4.51072
45	4024	4.86099
45	4524	4.45162
45	5024	4.66227
45	5524	4.55178
45	6024	4.77101
45	6524	5.01043
45	7024	4.49536
45	7524	4.5144
45	8024	4.68602
45	8524	4.90982
45	9024	5.19782
45	9524	4.41914
45	10024	4.73133
46	1024	3.12115
46	1524	3.9624
46	2024	4.6633
46	2524	4.26051
46	3024	4.57229
46	3524	4.51072
46	4024	4.73222
46	4524	4.37923
46	5024	4.74266
46	5524	4.55178
46	6024	4.77101
46	6524	5.06262
46	7024	4.60774
46	7524	4.93574
46	8024	4.75021
46	8524	4.63706
46	9024	5.05344
46	9524	4.57152
46	10024	4.49075
47	1024	3.09658
47	1524	3.95021
47	2024	4.54995
47	2524	4.15955
47	3024	4.5239
47	3524	4.42614
47	4024	4.66784
47	4524	4.45162
47	5024	4.5417
47	5524	4.50758
47	6024	4.77101
47	6524	5.01043
47	7024	4.66394
47	7524	4.69498
47	8024	4.87859
47	8524	4.84163
47	9024	4.90906
47	9524	4.7239
47	10024	4.41056
48	1024	3.16211
48	1524	4.05994
48	2024	4.54995
48	2524	4.24032
48	3024	4.59648
48	3524	4.48253
48	4024	4.86099
48	4524	4.30685
48	5024	4.70246
48	5524	4.64016
48	6024	4.77101
48	6524	4.90605
48	7024	4.55155
48	7524	4.81536
48	8024	4.62182
48	8524	4.70525
48	9024	4.98125
48	9524	4.8001
48	10024	4.65114
49	1024	3.12115
49	1524	3.98678
49	2024	4.58234
49	2524	4.22013
49	3024	4.57229
49	3524	4.48253
49	4024	4.79661
49	4524	4.34304
49	5024	4.5015
49	5524	4.68435
49	6024	4.8192
49	6524	5.01043
49	7024	4.32678
49	7524	4.69498
49	8024	4.94278
49	8524	4.90982
49	9024	4.98125
49	9524	5.02867
49	10024	4.41056
50	1024	3.12115
50	1524	3.97459
50	2024	4.56614
50	2524	4.15955
50	3024	4.5239
50	3524	4.42614
50	4024	4.73222
50	4524	4.27066
50	5024	4.62208
50	5524	4.50758
50	6024	4.77101
50	6524	4.85386
50	7024	4.72013
50	7524	4.57459
50	8024	4.62182
50	8524	4.90982
50	9024	4.98125
50	9524	4.7239
50	10024	4.73133
