nWifi	payloadSize	throughput
25	3524	5.35648
25	4024	5.76237
25	4524	4.88592
25	5024	5.22496
25	5524	5.21466
25	6024	5.54208
25	6524	5.74112
25	7024	5.33824
25	7524	5.11632
25	8024	5.6489
25	8524	5.72813
25	9024	5.70317
25	9524	5.02867
25	10024	5.29267
26	1024	3.90758
26	1524	4.74269
26	2024	5.34336
26	2524	4.5432
26	3024	4.93517
26	3524	5.38467
26	4024	5.50483
26	4524	4.9945
26	5024	5.18477
26	5524	5.34723
26	6024	5.49389
26	6524	5.74112
26	7024	5.16966
26	7524	4.99594
26	8024	5.26374
26	8524	5.65994
26	9024	5.48659
26	9524	5.25725
26	10024	5.13229
27	1024	3.91578
27	1524	4.74269
27	2024	5.24621
27	2524	4.5432
27	3024	4.93517
27	3524	5.2719
27	4024	5.47264
27	4524	4.88592
27	5024	5.14458
27	5524	5.25885
27	6024	5.4457
27	6524	5.42797
27	7024	5.00109
27	7524	5.17651
27	8024	5.45632
27	8524	5.45536
27	9024	5.4144
27	9524	5.33344
27	10024	5.37286
28	1024	3.94854
28	1524	4.70611
28	2024	5.34336
28	2524	4.50282
28	3024	4.95936
28	3524	5.13094
28	4024	5.2151
28	4524	4.66877
28	5024	5.06419
28	5524	5.34723
28	6024	5.15654
28	6524	5.63674
28	7024	4.83251
28	7524	5.11632
28	8024	5.39213
28	8524	5.59174
28	9024	5.63098
28	9524	5.18106
28	10024	5.0521
29	1024	3.87482
29	1524	4.64515
29	2024	5.21382
29	2524	4.26051
29	3024	4.8384
29	3524	5.18733
29	4024	5.47264
29	4524	4.77734
29	5024	4.86323
29	5524	5.08208
29	6024	5.49389
29	6524	5.63674
29	7024	4.77632
29	7524	5.17651
29	8024	5.26374
29	8524	5.45536
29	9024	5.63098
29	9524	5.02867
29	10024	4.89171
30	1024	3.93216
30	1524	4.76707
30	2024	5.34336
30	2524	4.64416
30	3024	4.79002
30	3524	5.35648
30	4024	5.50483
30	4524	4.9583
30	5024	4.90342
30	5524	5.03789
